Sr no,Product name,Type,Purpose,Reference link,Additional details
1,Display,OLED,Scrolling text and animations,https://robu.in/product/1-3-inch-i2c-iic-oled-4-pin-lcd-module-4pin-with-vcc-gnd-blue/,
2,"Power Supply (18650 Li-ion Cell, 3.7V Li-ion Packs)",LI-PO BATTERY MODULE,Power,https://robu.in/product/500mah-pcm-protected-micro-li-po-battery-2/,
3,Charging Interface 1,Adjustable 1A Li-ion lithium Battery Charging Module with Overcurrent Protection ,Charging,https://www.google.com/url?q=https://robu.in/product/tp4056-1a-li-ion-lithium-battery-charging-module-with-current-protection-type-c/&sa=D&source=editors&ust=1758025392353937&usg=AOvVaw1Q3fW9K1XlobrX4-PzhQ54,
4,Speaker,Trumpet peizo buzzer,Speaker,https://zbotic.in/product/0-5w-8ohm-trumpet-diameter-36mm/,
5,Amplifier,I2S Mono-amplifier,Amplifying sound,https://hubtronics.in/max98357a-stereo-amplifier-module?gad_source=1&gad_campaignid=22872103083&gbraid=0AAAAAD07y2cFmnUurDbtV3uEZS7b76Qt2&gclid=CjwKCAjwt-_FBhBzEiwA7QEqyBmhdX7k5ErmGjRCu_LeVJfCkH6P38ALwsofYcJvEnzgToibxjFPFBoCsyIQAvD_BwE,
6,On-off switch,SPDT Sliding Switch,Turning the device on and off,https://robu.in/product/sk12d07l2b-xkb-300ma-single-pole-double-throw-spdt-50v-50v-300ma-10000-times-black-plugin-slide-switches-rohs/,
7,Push  switch,Lock- Free Momentary Self- Reset Small Push Button Switch,Controlling the bot functions,https://robu.in/product/red-ds-314-10mm-lock-free-momentary-self-reset-small-push-button-switch/?gad_source=1&gad_campaignid=17427802703&gbraid=0AAAAADvLFWekuRiRlvt-YWARc3kUaSESE&gclid=CjwKCAjwt-_FBhBzEiwA7QEqyM4WCtPkZD1_Oq4xfi6R99hO8JiZd2GMFHdFNr54bB6ks2T9JTLJVRoCxVsQAvD_BwE,
8,PCB Prototype Board,Universal PCB Prototype Board Single-Sided 2.54mm Hole Pitch,Prototyping,https://robu.in/product/10-x-10-cm-universal-pcb-prototype-board-single-sided-2-54mm-hole-pitch/,
9,Female to male jumper wires,Female to male jumper wires,Component connection,https://robu.in/product/male-to-female-jumper-wires-40pcs-20cm/,
10,Male to male jumper wires,Male to male jumper wires,Component connection,https://robu.in/product/male-to-male-jumper-wires-40pcs-20cm/,
11,ESP 32,ESP 32,Main Board,In kit,
12,Micro-USB Cable,Micro USB Cable for Raspberry Pi,Charging,In kit,
